;Tweets;Sentiment;Subjectivité
65;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
66;RT @mauvais_loup7: Y’a des gens qui sont allez chez le coiffeur pour le déconfinement mais ils sont toujours aussi vilain.;-0.6;1.0
67;RT @matthieumeritet: j’ai refait la carte du déconfinement en poivron vous en pensez quoi https://t.co/CiWgOjSg0j;0.0;0.0
68;krkrkrk ils nous reste 3 minutes de déconfinement https://t.co/X6nr15YnIo;0.0;0.0
69;RT @AnonymeCitoyen: 🔴🇪🇦 - Une interminable queue de français c'est formé hier à #LaJonquera ville Espagnol proche de la frontière avec la F…;0.0050000000000000044;0.225
70;Le pote de mon frere qui dort chez moi au deuxième jour de deconfinement eh vsi;0.03;0.0
71;"RT @JdeMontreal: Cas de maltraitance: le deconfinement pour protéger les enfants.
https://t.co/Nn1ePngQ9I";0.0;0.0
72;"RT @franceinfo: Déconfinement : il faut que ""la garde des petits-enfants soit un des motifs familiaux impérieux qui nécessite"" de se déplac…";0.0;0.125
73;RT @stopMLPetJLM: Selon l'enquête quotidienne Opinionway la confiance dans l'exécutif a remonté de 6 points en une semaine pour s'établir à…;0.0;0.0
74;"RT @AbdiElkandoussi: 🎥 Lundi 11 mai 2020 : #transports en commun de #Montpellier #Métropole.
Déconfinement 🚌 🚋 
@Saurel_P 
- Distributeur g…";0.08;0.1
75;RT @Conflits_FR: 🇫🇷 Déconfinement : « Un #reconfinement en urgence doit être anticipé », prévient Jean #Castex dans son rapport sur le #Dec…;0.0;0.0
76;"RT @AyrlDim: Tu a bien compris que c'est pas un déconfinement total, qu'on ne peux pas se rassembler pour faire des soirées a 50 ?

Les gen…";0.05;0.1
77;RT @PaulMoreiraPLTV: Grâce au déconfinement, on l’a vu à la télé : le premier métro est plein d’immigrés. Il font tourner ce pays quand nou…;0.385;8.924999999999999
78;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
79;"RT @Paolichino: « Et alors vous avez passé le deconfinement avec votre copine ? »

La coiffeuse, litteralement 35 secondes après que je lui…";-0.1;0.125
80;"RT @FranckNoir3: On nous dit que les USA sont le pays le plus touché par le #Coronavirus.

En rapportant au nombre d'habitant, la France a…";0.15;0.1
81;RT @CNEWS: Le coup de gueule de Pascal Praud contre le gouvernement « qui n'est pas capable de donner des masques à ses citoyens mais qui,…;-0.0875;0.2
82;RT @E_Dorsay: Je range les gens ayant assimilé les règles subtilement ubuesques du déconfinement dans une catégorie à part, celle des êtres…;0.0;0.0
83;"RT @Tenoua: Une histoire italienne de 🦠, de courage et de lutte contre l'Extermination. 
Une minute 30 à voir en ces temps de pandémie et d…";0.0;0.0
84;"RT @CerveauxNon: La nouvelle école de la vie.
Images d'une maternelle de Tourcoing.
#ecoles #ecole #profs #DeconfinementJour2 #Deconfinemen…";0.05;0.125
85;"RT @Urtikan_net: Chercher un emploi pendant la pandémie
#DessinDePresse de @Lacombe_dessins pour https://t.co/S6YYStSoZE
Préparez-vous aux…";0.0;0.0
86;"RT @SERKO_TURKO: - vous etes sur une place handicapé madame

- ah mais j'allais a zara puis a macdo pour feter le deconfinement

- je compr…";0.0;0.0
87;RT @Infirmier0: Les policiers de #Castaner à l'œuvre, on ne peut même pas marcher comme ds un Etat démocratique! #Deconfinement #deconfinem…;0.0;0.5
88;jsuis toujours pas sortie depuis le début du déconfinement;0.0;0.0
89;Déconfinement #Lyon: il y a des #GCUM de partout, dans toutes les rues, sur les #trottoirs, les #pistes #cyclables… https://t.co/pwAMJpdUoH;0.22;0.1
90;Ptn même en étant en déconfinement on me fait chier, pour de vrai jv vite dégager d'ici;0.025;0.45
91;Je ne serais pas vraiment surpris d'apprendre demain  que Samantha Carpentier, prof. des écoles actuellement interr… https://t.co/VDz4E6X4NB;-0.1375;0.25
92;"""Il ne faut pas croire que les gens vont revenir."" Pour le monde de la culture, déconfinement ne rime pas avec reto… https://t.co/jcVm1VQnnQ";0.0;0.0
93;"RT @ChristophePretr: A part connards, un autre qualificatif ? 

Déconfinement : à Paris, le canal Saint-Martin évacué après des rassembleme…";-0.125;-0.15
94;"RT @radioparleur: 🔴""ICI ON POUSSE DES EGYPTIENS DANS LA SEINE""🔴

Première #manif de #Deconfinement pour le 93. À l'#ilesaintdenis une tenta…";0.5;0.2
95;RT @XseniaSputnik: Action des avocats face au ministère de la justice  Place Vendôme contre la mise à mal des libertés fondamentales dans c…;-0.7;0.7
96;"@Hannnas Le Bilan jour par jour a pas énormément d’intérêt il faut le regarder a plus grosse échelle disons..
Perso… https://t.co/yV6eVHIeJ6";0.0;0.26
97;Le deconfinement c le aïd des non muslim;-0.01;0.0
98;RT @blousesnoires: Le triste monde n’est pas mort avec la crise sanitaire et profite du relâchement du déconfinement pour accentuer la répr…;-0.3;0.6
99;"RT @G_Corbeau: Sérieusement, certaines personnes tentent de saboter le #Deconfinement. 
Une partie de la team « je reste chez moi et je sui…";0.29;0.15
